epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,638.313,0.70024,0.46533,0.8748,0.98766,0.99092,0.99214,0.86307,0.50966,0.35906,0.81788,0.000720295,0.000720295,0.000720295
43,653.32,0.68391,0.48782,0.87495,0.97814,0.99012,0.99436,0.84287,0.5244,0.34562,0.81244,0.000717546,0.000717546,0.000717546
44,668.378,0.70581,0.48139,0.86661,0.97102,0.99054,0.99173,0.85842,0.51772,0.34321,0.81585,0.000714797,0.000714797,0.000714797
45,683.576,0.68825,0.46999,0.86529,0.97727,0.99405,0.99477,0.86503,0.50799,0.35284,0.80748,0.000712048,0.000712048,0.000712048
46,698.55,0.6888,0.46491,0.86872,0.9721,0.98882,0.98889,0.85134,0.54983,0.36367,0.813,0.000709299,0.000709299,0.000709299
47,713.59,0.67671,0.45718,0.8701,0.97508,0.97916,0.99304,0.86139,0.52886,0.34716,0.8171,0.000706551,0.000706551,0.000706551
48,728.631,0.69485,0.46458,0.86854,0.978,0.99659,0.99498,0.85392,0.51211,0.34191,0.812,0.000703802,0.000703802,0.000703802
49,743.736,0.69097,0.46493,0.87206,0.98298,0.98164,0.99282,0.84585,0.53296,0.34574,0.81137,0.000701053,0.000701053,0.000701053
50,758.866,0.68967,0.46398,0.87414,0.9846,0.99405,0.99408,0.85713,0.5356,0.35925,0.81083,0.000698304,0.000698304,0.000698304
51,773.985,0.67833,0.46354,0.86283,0.96572,0.97619,0.99276,0.87606,0.48451,0.34368,0.80738,0.000695555,0.000695555,0.000695555
52,789.251,0.64067,0.43864,0.86298,0.98114,0.98214,0.99095,0.89072,0.45533,0.32367,0.80771,0.000692806,0.000692806,0.000692806
53,804.381,0.65627,0.44832,0.86248,0.97329,0.9881,0.99069,0.85668,0.48745,0.32485,0.80945,0.000690057,0.000690057,0.000690057
54,819.461,0.65119,0.43942,0.86223,0.97982,0.98883,0.99357,0.87113,0.47719,0.32766,0.80711,0.000687308,0.000687308,0.000687308
55,834.532,0.65237,0.44267,0.85787,0.96282,0.99927,0.99119,0.86716,0.48644,0.33743,0.81143,0.000684559,0.000684559,0.000684559
