epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,445.572,0.69357,0.47991,0.87097,0.98297,0.97461,0.99043,0.85464,0.51838,0.35519,0.81924,0.000720295,0.000720295,0.000720295
43,455.585,0.72184,0.49977,0.88295,0.96312,0.99672,0.99057,0.85141,0.52047,0.35556,0.8142,0.000717546,0.000717546,0.000717546
44,465.538,0.71457,0.48366,0.87014,0.98613,0.98667,0.99219,0.86762,0.50239,0.35555,0.8173,0.000714797,0.000714797,0.000714797
45,475.45,0.71601,0.49548,0.87331,0.97957,0.99272,0.99449,0.8511,0.53896,0.36036,0.81292,0.000712048,0.000712048,0.000712048
46,485.474,0.72142,0.48618,0.87175,0.95241,0.9624,0.98969,0.83134,0.5623,0.40093,0.82665,0.000709299,0.000709299,0.000709299
47,495.36,0.70945,0.48793,0.87793,0.97734,0.99396,0.99447,0.85328,0.55011,0.38093,0.82829,0.000706551,0.000706551,0.000706551
48,505.404,0.70645,0.47304,0.87492,0.95192,1,0.98974,0.88026,0.45877,0.34976,0.80971,0.000703802,0.000703802,0.000703802
49,515.346,0.6903,0.47123,0.87497,0.96659,0.9944,0.99266,0.86578,0.48508,0.35043,0.81925,0.000701053,0.000701053,0.000701053
50,525.406,0.6951,0.4835,0.87815,0.97271,0.97343,0.99015,0.8636,0.48967,0.38776,0.81435,0.000698304,0.000698304,0.000698304
51,535.303,0.69998,0.48748,0.86843,0.95474,0.97619,0.98416,0.85714,0.46731,0.35342,0.81298,0.000695555,0.000695555,0.000695555
52,545.274,0.6624,0.45578,0.86397,0.97346,0.99405,0.99196,0.86417,0.47299,0.34349,0.81,0.000692806,0.000692806,0.000692806
53,555.217,0.68088,0.46953,0.86454,0.98245,0.98951,0.99404,0.85611,0.51422,0.35,0.81391,0.000690057,0.000690057,0.000690057
